SLC,Plus,Physics,Math,Chemistry,Bio,Math2,int1,int2,int3,int4,int5,int6,SGPA
0.903225806,0.875,0.675675676,0.923076923,0.675675676,0.953488372,0.58,0.03125,0.974358974,0.958333333,0.035714286,1,1,1
0.935483871,1,0.972972973,0.884615385,0.72972973,0,0.58,0.78125,0.179487179,0.541666667,0.678571429,0.142857143,0.529411765,4
0.032258065,0.125,0.405405405,0.576923077,0.135135135,0,0.62,0.71875,0.051282051,0.458333333,0.428571429,0.085714286,0.411764706,4
0.677419355,0.625,0.351351351,0.480769231,0.837837838,0.872093023,0,0.78125,0.128205128,0.541666667,0.607142857,0.142857143,0.529411765,3
0.580645161,0.541666667,0.405405405,0.634615385,0.405405405,0.837209302,0.92,0.84375,0.384615385,0.5,0.928571429,0.4,0.529411765,4
0.741935484,0.75,0.702702703,0.826923077,0.567567568,0.872093023,0.86,0.875,0.358974359,0.458333333,0.857142857,0.4,0.529411765,2
0.548387097,0.708333333,0.918918919,0.884615385,0.837837838,0.802325581,0.9,0.65625,0.102564103,0.541666667,0.571428571,0.285714286,0.529411765,2
0.548387097,0.375,0.405405405,0.576923077,0.27027027,0.697674419,0.62,0.59375,0.025641026,0.458333333,0.392857143,0,0.411764706,3
0.64516129,0.666666667,0.702702703,0.769230769,0.486486486,0.813953488,0.6,0.5625,0.025641026,0.458333333,0.392857143,0.028571429,0.411764706,4
0.64516129,0.708333333,0.540540541,0.634615385,0.567567568,0.860465116,0.88,0.71875,0.230769231,0.458333333,0.678571429,0.228571429,0.411764706,4
0.709677419,0.541666667,0.540540541,0.692307692,0.351351351,0.825581395,0.64,0.625,0.153846154,0.5,0.607142857,0.2,0.470588235,4
0.741935484,0.541666667,0.540540541,0.711538462,0.351351351,0.76744186,0.9,0.75,0.051282051,0.458333333,0.428571429,0.257142857,0.411764706,4
0.870967742,0.708333333,0.810810811,0.653846154,0.72972973,0,0.84,0.71875,0.179487179,0.541666667,0.678571429,0.171428571,0.529411765,4
0.64516129,0.583333333,0.648648649,0.538461538,0.594594595,0,0.72,0.75,0.153846154,0.458333333,0.571428571,0.314285714,0.411764706,3
0.838709677,0.708333333,0.540540541,0.769230769,0.405405405,0.837209302,0.9,0.75,0.256410256,0.5,0.75,0.142857143,0.470588235,4
0.225806452,0,0,0.442307692,0,0.627906977,0.8,0.71875,0.076923077,0.541666667,0.535714286,0.171428571,0.529411765,4
0.258064516,0.833333333,0.972972973,0.884615385,0.837837838,0.918604651,1,1,0.307692308,0.458333333,0.785714286,0.4,0.529411765,2
0.741935484,0.791666667,0.702702703,0.903846154,0.567567568,0,0.74,0.71875,0.384615385,0.541666667,0.964285714,0.342857143,0.529411765,2
0.64516129,0.666666667,0.621621622,0.442307692,0.351351351,0,0.72,0.75,0,0.541666667,0.428571429,0.285714286,0.529411765,3
0.870967742,0.958333333,0.810810811,0.884615385,0.567567568,0,0.9,0.625,0.076923077,0.458333333,0.464285714,0.342857143,0.411764706,4
0.677419355,0.791666667,0.621621622,0.692307692,0.783783784,0.872093023,0.66,0.84375,0.333333333,0.5,0.857142857,0.257142857,0.470588235,2
0.548387097,0.583333333,0.864864865,0.480769231,0.378378378,0,0.84,0.96875,0.282051282,0.458333333,0.75,0.4,0.411764706,4
0.806451613,0.708333333,0.702702703,0.769230769,0.513513514,0,0.76,0.6875,0.128205128,0.5,0.571428571,0.171428571,0.470588235,3
0.64516129,0.458333333,0.810810811,0.442307692,0.891891892,0.825581395,0.78,0.71875,0.384615385,0.5,0.928571429,0.371428571,0.470588235,2
0.64516129,0.708333333,0.540540541,0.711538462,0.540540541,0.872093023,0.54,0.53125,0.435897436,0.5,1,0.057142857,0.470588235,4
0.870967742,0.833333333,0.567567568,0.884615385,0.567567568,0.872093023,0.8,0.84375,0.256410256,0.541666667,0.785714286,0.314285714,0.529411765,2
0.774193548,0.833333333,0.810810811,0.769230769,0.621621622,0.802325581,1,0.8125,0.435897436,0.458333333,0.964285714,0.342857143,0.411764706,2
0.838709677,0.666666667,0.702702703,0.769230769,0.459459459,0.802325581,0.8,0.65625,0.256410256,0.5,0.75,0.171428571,0.529411765,4
0.741935484,0.541666667,0.540540541,0.576923077,0.459459459,0.906976744,0.8,0.625,0.333333333,0.458333333,0.821428571,0.285714286,0.411764706,4
0.903225806,0.958333333,0.513513514,0.711538462,0.810810811,0.918604651,0.9,0.84375,0.384615385,0.541666667,0.964285714,0.2,0.529411765,2
0.870967742,0.958333333,0.810810811,0.903846154,0.621621622,0.941860465,0.86,0.71875,0.358974359,0.541666667,0.928571429,0.314285714,0.529411765,2
0.709677419,0.375,0.513513514,0.673076923,0.27027027,0.755813953,0.88,0.78125,0.333333333,0.458333333,0.821428571,0.285714286,0.411764706,4
0.870967742,0.708333333,0.72972973,0.807692308,0.459459459,0.755813953,0.76,0.84375,0.384615385,0.5,0.928571429,0.4,0.470588235,4
0.838709677,0.833333333,0.810810811,0.826923077,0.72972973,0,0.94,0.9375,0.307692308,0.541666667,0.857142857,0.228571429,0.529411765,2
0.870967742,0.875,0.891891892,0.884615385,0.567567568,0.906976744,0.92,0.6875,0.384615385,0.5,0.928571429,0.257142857,0.470588235,2
0.677419355,0.958333333,0.621621622,0.884615385,0.567567568,0.837209302,0.86,0.6875,0.41025641,0.5,0.964285714,0.371428571,0.470588235,4
0.387096774,0.541666667,0.567567568,0.634615385,0.72972973,0.872093023,0.9,1,0.41025641,0.458333333,0.928571429,0.342857143,0.411764706,2
0.612903226,0.5,0.513513514,0.576923077,0.540540541,0.837209302,0.6,0.78125,0.41025641,0.5,0.964285714,0.257142857,0.470588235,4
0.741935484,0.458333333,0.135135135,0.5,0.351351351,0,0.68,0.84375,0.205128205,0.541666667,0.714285714,0.142857143,0.529411765,4
0.870967742,1,1,1,0.837837838,0.941860465,0.9,0.96875,0.384615385,0.5,0.928571429,0.342857143,0.470588235,2
0.935483871,0.916666667,0.918918919,0.903846154,0.702702703,0.906976744,0.9,0.6875,0.282051282,0.458333333,0.964285714,0.228571429,0.411764706,2
0.677419355,0.791666667,0.810810811,0.519230769,0.810810811,0.988372093,0.5,0.03125,0.871794872,0.916666667,0.035714286,0.971428571,1,2
0.806451613,0.625,0.567567568,0.75,0.567567568,0.872093023,0.58,0.0625,1,0.875,0.071428571,0.971428571,0.764705882,2
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.46,0,0.794871795,0.916666667,0,0.942857143,1,2
0.838709677,0.708333333,0.675675676,0.865384615,0.405405405,0.813953488,0.5,0.03125,0.871794872,0.875,0.035714286,0.942857143,0.941176471,2
0.870967742,0.708333333,0.675675676,0.865384615,0.405405405,0.813953488,0.32,0.0625,0.666666667,0.791666667,0.071428571,0.914285714,0.705882353,4
0.903225806,0.625,0.567567568,0.634615385,0.405405405,0.930232558,0.44,0.0625,0.820512821,0.541666667,0.071428571,0.742857143,1,2
0.483870968,0.291666667,0.756756757,0.326923077,0.027027027,0.558139535,0.2,0,0.461538462,0.583333333,0,0.714285714,0.117647059,4
0.516129032,0.291666667,0.756756757,0.326923077,0.027027027,0.558139535,0.3,0.03125,0.615384615,0.541666667,0.035714286,0.714285714,0.235294118,4
0.548387097,0.291666667,0.756756757,0.326923077,0.027027027,0.558139535,0.4,0.0625,0.769230769,0.541666667,0.071428571,0.742857143,0.588235294,4
0.35483871,0.416666667,0.027027027,0.442307692,0.162162162,0,0.4,0.0625,0.769230769,0.791666667,0.035714286,0.885714286,0.470588235,4
0.225806452,0.291666667,0.486486486,0.365384615,0.459459459,0,0.38,0.0625,0.743589744,0.5,0.071428571,0.714285714,0.470588235,4
0.258064516,0.291666667,0.486486486,0.365384615,0.459459459,0,0.32,0,0.615384615,0.25,0,0.485714286,0.117647059,4
0.290322581,0.291666667,0.486486486,0.365384615,0.459459459,0,0.3,0.03125,0.615384615,0.5,0.035714286,0.685714286,0.235294118,4
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.18,0.0625,0.487179487,0,0.071428571,0.371428571,0.294117647,4
0.741935484,0.75,0.675675676,0.480769231,0.675675676,0,0.4,0.0625,0.769230769,0.541666667,0.071428571,0.742857143,0.882352941,2
0.580645161,0.666666667,0.594594595,0.769230769,0.756756757,0.837209302,0.54,0.03125,0.923076923,0.666666667,0.035714286,0.8,0.411764706,2
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.32,0.0625,0.666666667,0.25,0.071428571,0.542857143,0.294117647,4
0.806451613,0.166666667,0.054054054,0.673076923,0.189189189,0.848837209,0.6,0,0.974358974,1,0,1,1,2
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.38,0.0625,0.743589744,0.5,0,0.657142857,0.529411765,4
0.548387097,0.708333333,0.135135135,0.769230769,0.189189189,0.872093023,0.52,0.03125,0.897435897,0.75,0.035714286,0.857142857,0.470588235,2
0,0.208333333,0.27027027,0.576923077,0.189189189,0.674418605,0.54,0,0.897435897,0.833333333,0,0.885714286,0.529411765,4
1,0.958333333,0.810810811,0.826923077,0.675675676,0.930232558,0.44,0.03125,0.794871795,0.875,0.035714286,0.942857143,0.941176471,2
0.838709677,0.666666667,0.540540541,0.557692308,0.567567568,0.848837209,0.54,0.03125,0.923076923,0.875,0.035714286,0.942857143,0.941176471,2
0.612903226,0.791666667,0.837837838,0.711538462,0.459459459,0.860465116,0.48,0.03125,0.846153846,0.541666667,0.071428571,0.742857143,0.529411765,3
0.290322581,0.041666667,0.27027027,0.480769231,0.135135135,0.651162791,0.4,0.0625,0.769230769,0.541666667,0.071428571,0.742857143,0.764705882,2
0.580645161,0.458333333,0.27027027,0.480769231,0.540540541,0.895348837,0.4,0.0625,0.769230769,0.75,0.071428571,0.885714286,0.882352941,2
0.677419355,0.125,0.540540541,0.461538462,0.513513514,0.348837209,0.32,0,0.615384615,0.541666667,0,0.685714286,0.352941176,4
0.64516129,0.708333333,0.621621622,0.826923077,0.27027027,0.76744186,0.38,0.03125,0.717948718,0.375,0.035714286,0.6,0.235294118,3
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.28,0.0625,0.615384615,0.5,0.071428571,0.714285714,0.235294118,4
0.741935484,0.75,0.459459459,0.769230769,0.486486486,0.790697674,0.3,0,0.58974359,0.666666667,0,0.771428571,0.352941176,4
0.258064516,0.375,0.27027027,0.480769231,0.27027027,0,0.54,0,0.897435897,0.875,0,0.914285714,0.705882353,4
0.709677419,0.625,0.810810811,0.576923077,0.675675676,0.953488372,0.5,0.03125,0.871794872,0.916666667,0.035714286,0.971428571,0.882352941,2
0.838709677,0.708333333,0.594594595,0.788461538,0.648648649,1,0.44,0.0625,0.820512821,0.833333333,0.071428571,0.942857143,0.941176471,2
0.64516129,0.958333333,0.810810811,0.826923077,0.567567568,0,0.6,0,0.974358974,0.625,0,0.742857143,1,2
0.741935484,0.208333333,0.027027027,0.442307692,0.162162162,0,0.4,0.03125,0.743589744,0.875,0.035714286,0.942857143,0.764705882,4
0.741935484,0.083333333,0.27027027,0.365384615,0,0.581395349,0.26,0.0625,0.58974359,0.541666667,0.071428571,0.742857143,0.705882353,4
0.741935484,0.875,0.810810811,0.769230769,0.621621622,0,0.6,0,0.974358974,1,0,1,0.941176471,2
0.838709677,0.25,0.27027027,0.480769231,0.27027027,0.697674419,0.4,0.0625,0.769230769,0.541666667,0.071428571,0.742857143,0.235294118,3
0.838709677,0.708333333,0.72972973,0.673076923,0.540540541,0.837209302,0.56,0.0625,0.974358974,0.708333333,0.071428571,0.857142857,0.823529412,2
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.4,0.0625,0.769230769,0.541666667,0.071428571,0.742857143,0.470588235,4
0.709677419,0.333333333,0.135135135,0.480769231,0.783783784,0.872093023,0.58,0.03125,0.974358974,0.708333333,0.035714286,0.828571429,0.764705882,2
0.612903226,0.916666667,0.945945946,0.923076923,1,0.895348837,0.5,0.0625,0.897435897,0.875,0.071428571,0.971428571,0.705882353,2
0.709677419,0.958333333,0.891891892,0.903846154,0.567567568,0.953488372,0.6,0,0.974358974,0.875,0.071428571,0.971428571,1,1
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.32,0,0.615384615,0.625,0,0.742857143,0.529411765,4
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.48,0.0625,0.871794872,0.75,0.035714286,0.857142857,0.764705882,3
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.36,0,0.666666667,0.541666667,0,0.685714286,0.352941176,4
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.3,0.03125,0.615384615,0.75,0.035714286,0.857142857,0.235294118,4
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.46,0.03125,0.820512821,0.791666667,0.035714286,0.885714286,0.882352941,2
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.56,0.03125,0.948717949,0.833333333,0.035714286,0.914285714,0.235294118,4
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.42,0.03125,0.769230769,0.75,0.035714286,0.857142857,0.235294118,4
0.35483871,0.416666667,0.135135135,0,0.108108108,0.976744186,0.44,0.0625,0.820512821,0.791666667,0.071428571,0.914285714,0.764705882,2
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.32,0,0.615384615,0.541666667,0,0.685714286,0.411764706,4
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.38,0.03125,0.717948718,0.75,0.035714286,0.857142857,0.764705882,3
0.903225806,0.875,0.675675676,0.923076923,0.675675676,0.953488372,0.46,0.0625,0.846153846,0.708333333,0.071428571,0.857142857,0.705882353,2
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.52,0,0.871794872,0.833333333,0,0.885714286,0.823529412,4
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.58,0,0.948717949,0.875,0,0.914285714,0.941176471,2
0.870967742,0.875,0.675675676,0.923076923,0.675675676,0.953488372,0.52,0.03125,0.897435897,0.875,0.035714286,0.942857143,0.941176471,2
0.903225806,0.875,0.675675676,0.923076923,0.675675676,0.953488372,0.38,0.0625,0.743589744,0.75,0.071428571,0.885714286,0.470588235,4
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.56,0,0.923076923,0.833333333,0,0.885714286,0.823529412,2
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.44,0.03125,0.794871795,0.791666667,0.035714286,0.885714286,0.235294118,4
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.56,0.0625,0.974358974,0.833333333,0.071428571,0.942857143,0.941176471,2
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.54,0,0.897435897,0.875,0,0.914285714,0.823529412,4
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.56,0.0625,0.974358974,0.875,0.071428571,0.971428571,0.764705882,2
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.48,0.0625,0.871794872,0.791666667,0.071428571,0.914285714,0.764705882,2
0.35483871,0.416666667,0.567567568,0.211538462,0.540540541,0.813953488,0.52,0.03125,0.897435897,0.875,0.035714286,0.942857143,0.882352941,2
0.35483871,0.416666667,0.567567568,0.211538462,0.540540541,0.813953488,0.42,0.0625,0.794871795,0.666666667,0.071428571,0.828571429,0,3
0.967741935,0.791666667,0.72972973,0.692307692,0.675675676,0.930232558,0.44,0,0.769230769,0.333333333,0,0.542857143,0.294117647,4
0.35483871,0.416666667,0.567567568,0.211538462,0.540540541,0.813953488,0.44,0,0.769230769,0.666666667,0,0.771428571,0.352941176,4
0.806451613,0.708333333,0.540540541,0.769230769,0.405405405,0.837209302,0.52,0.03125,0.897435897,0.75,0.035714286,0.857142857,0.470588235,3
